objectid,filename,title,hours,noise,traffic,xdoor,seats,tables,description,latitude,longitude,format,type,language,rights,rightsstatement,umdmap
place01,img_3965.jpeg,Knight Courtyard,Open 24 hours,quiet,light traffic,outdoor,limited seats,limited tables,"Knight Courtyard is a quiet, outdoor space. Expect light traffic on weekdays. There are limited seats and limited tables.",38.98663498,-76.94839918,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,<a href="https://maps.umd.edu/map/index.html?&feature=building&name=417">UMD Map</a>
place02,img_3966.jpeg,Knight Hall,7:00 AM – 10:00 PM,quiet,moderate traffic,indoor,limited seats,limited tables,"Knight Hall is a quiet, indoor space. Expect moderate traffic on weekdays. There are limited seats and limited tables.",38.98694576,-76.94849163,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=417
place03,img_3968.jpeg,Benjamin Courtyard,Open 24 hours,very quiet,light traffic,outdoor,lots of seats,lots of tables,"Benjamin Courtyard is a very quiet, outdoor space. Expect light traffic on weekdays. There are lots of seats and lots of tables.",38.9866859,-76.94736081,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=143
place04,img_3969.jpeg,Tawes Courtyard,Open 24 hours,quiet,moderate traffic,outdoor,limited seats,limited tables,"Tawes Courtyard is a quiet, outdoor space. Expect moderate traffic on weekdays. There are limited seats and limited tables.",38.98594437,-76.94858369,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=141
place05,img_3972.jpeg,Tawes Plaza,Open 24 hours,loud,heavy traffic,outdoor,limited seats,limited tables,"Tawes Plaza is a loud, outdoor space. Expect heavy traffic on weekdays. There are limited seats and limited tables.",38.98595522,-76.94751088,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=placesofinterest&name=Tawes Plaza
place06,img_3973.jpeg,Van Munching Hall,7:00 AM – 10:00 PM,loud,heavy traffic,indoor,lots of seats,lots of tables,"Van Munching Hall is a loud, indoor space. Expect heavy traffic on weekdays. There are lots of seats and lots of tables.",38.98310865,-76.94706857,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=039
place07,img_3974.jpeg,School of Public Policy,7:00 AM – 10:00 PM,quiet,moderate traffic,indoor,limited seats,limited tables,"School of Public Policy is a quiet, indoor space. Expect moderate traffic on weekdays. There are limited seats and limited tables.",38.98357204,-76.94740673,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=construction&name=School of Public Policy
place08,img_3975.jpeg,Van Munching Courtyard,Open 24 hours,quiet,moderate traffic,outdoor,limited seats,limited tables,"Van Munching Courtyard is a quiet, outdoor space. Expect moderate traffic on weekdays. There are limited seats and limited tables.",38.98310865,-76.94706857,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=039
place09,img_3977.jpeg,McKeldin Mall,Open 24 hours,loud,heavy traffic,outdoor,limited seats,no tables,"McKeldin Mall is a loud, outdoor space. Expect heavy traffic on weekdays. There are limited seats and no tables.",38.98602415,-76.9424154,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=placesofinterest&name=McKeldin Mall
place10,img_3978.jpeg,McKeldin 1,Open 24 hours,quiet,heavy traffic,indoor,lots of seats,lots of tables,"McKeldin 1 is a quiet, indoor space. Expect heavy traffic on weekdays. There are lots of seats and lots of tables.",38.98596802,-76.9450879,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=035
